Main Tabs,Sub Tabs,Section,Feature,Phase,App Status,Test Status
Market Entry,CTAs,Contacts & Programs,"Real-time CTAs: brokers, regulators, grants",Phase 2,Not Started,Pending
Market Entry,Strategy,Scenarios,Scenario planning for growth & expansion,Phase 3,Not Started,Pending
Market Entry,Research,Competition,Competitor density heatmaps & opportunity sizing,Phase 3,Not Started,Pending
Market Entry,Reports,Environment,Customized business environment reports,Phase 3,Not Started,Pending
Market Entry,Support,Mentoring,Feedback & mentoring request submission,Phase 2,Not Started,Pending
Price Monitor,Dashboards,Live Prices,Live commodity/product price dashboards,Phase 3,Not Started,Pending
Price Monitor,Tables,Comparisons,Price comparison tables by vendor/region,Phase 3,Not Started,Pending
Price Monitor,Analysis,Volatility & Forecasts,"Price volatility, trends, forecasting charts",Phase 3,Not Started,Pending
Price Monitor,Alerts,Movements,User alerts for significant price moves/arbitrage,Phase 3,Not Started,Pending
Price Monitor,Quality,Sources,Data source transparency & scraper health,Phase 3,Not Started,Pending
Price Monitor,History,Trends,Historical price trend analysis,Phase 3,Not Started,Pending
Price Monitor,Bulk,Uploads,Bulk product price upload & comparison,Phase 4,Not Started,Pending
Price Monitor,Crowd,User Submissions,User-submitted price data with verification,Phase 4,Not Started,Pending
Price Monitor,Integrations,Commerce,Integrations with e-commerce/retail platforms,Phase 4,Not Started,Pending
Capital Access,Dashboards,Rates & Loans,Interest rate and loan product comparisons,Phase 2,Not Started,Pending
Capital Access,Tools,Calculators,Financial calculators with up-to-date variables,Phase 2,Not Started,Pending
Capital Access,Indicators,Banking Health,Banking sector health indicators & trends,Phase 3,Not Started,Pending
Capital Access,Coverage,Fintech Data,Fintech products & emerging services coverage,Phase 3,Not Started,Pending
Capital Access,Knowledge,Regulatory Updates,"Reports, summaries, and regulatory updates",Phase 2,Not Started,Pending
Capital Access,Alerts,Policy Changes,Alerts for banking policies/interest rate changes,Phase 2,Not Started,Pending
Capital Access,Eligibility,Credit & Loans,Loan eligibility and credit scoring tools,Phase 4,Not Started,Pending
Capital Access,Guidance,Personal Finance,User guidance for financial planning/investment,Phase 2,Not Started,Pending
Capital Access,API,Data Access,API access for banking data integration,Phase 4,Not Started,Pending
Regulatory Access,Guides,Sector Entry,Step-by-step market entry guides by sector,Phase 1,Not Started,Pending
Regulatory Access,Database,Licensing Requirements,Searchable licensing requirement database,Phase 1,Not Started,Pending
Regulatory Access,Workflows,Compliance,Interactive licensing workflows & checklists,Phase 2,Not Started,Pending
Regulatory Access,News,Regulation,Real-time regulatory news & policy updates,Phase 2,Not Started,Pending
Regulatory Access,CTAs,Government Portals,Direct CTAs to government portals/agencies,Phase 2,Not Started,Pending
Regulatory Access,Risk,Timelines,Risk & timeline dashboards for licensing,Phase 2,Not Started,Pending
Regulatory Access,Cases,Success Stories,Market entry case studies & success stories,Phase 3,Not Started,Pending
Regulatory Access,Support,FAQs & Chatbot,Licensing FAQs and chatbot support,Phase 2,Not Started,Pending
Regulatory Access,Tracking,Milestones,Visual milestone trackers for applications,Phase 2,Not Started,Pending
Regulatory Access,Docs,Repository,Document/form repositories for applications,Phase 1,Not Started,Pending
Regulatory Access,Alerts,Renewals,Alerts for due dates and renewals,Phase 2,Not Started,Pending
Regulatory Access,Advisory,Legal/Regulatory,Access to legal/regulatory advisory services,Phase 3,Not Started,Pending
Sector Intelligence,Reports,Benchmarks,Cross-sector benchmark reports & dashboards,Phase 2,Not Started,Pending
Sector Intelligence,Charts,Sector Trends,Sector-specific performance & growth trends,Phase 2,Not Started,Pending
Sector Intelligence,Widgets,Peer Benchmarking,Peer benchmarking with customizable metrics,Phase 3,Not Started,Pending
Sector Intelligence,Integrations,Intelligence,"Integrate industry news, reports, investment data",Phase 3,Not Started,Pending
Sector Intelligence,Deep Dives,Subsectors,Subsector deep-dive & ecosystem mapping,Phase 3,Not Started,Pending
Sector Intelligence,Funding,Investor Activity,Investor activity & funding trend dashboards,Phase 3,Not Started,Pending
Sector Intelligence,Value Chain,Supply Chain,Supply/value chain visualization tools,Phase 4,Not Started,Pending
Sector Intelligence,ESG,Indicators,ESG indicators by sector,Phase 4,Not Started,Pending
Sector Intelligence,Briefs,Exports,Exportable industry intelligence briefs,Phase 2,Not Started,Pending
Sector Intelligence,Heatmaps,Clusters,Interactive heatmaps: sector activity & clusters,Phase 4,Not Started,Pending
